Comment,Designator,Footprint,LCSC
KEYSW,K25,Kailh_socket_PG1350_optional,
KEYSW,K24,Kailh_socket_PG1350_optional,
KEYSW,K21,Kailh_socket_PG1350_optional,
KEYSW,K02,Kailh_socket_PG1350_optional,
KEYSW,K10,Kailh_socket_PG1350_optional,
Pico,U2,RPi_Pico_SMD_TH,
KEYSW,K04,Kailh_socket_PG1350_optional,
KEYSW,K12,Kailh_socket_PG1350_optional,
KEYSW,K30,Kailh_socket_PG1350_optional,
KEYSW,K01,Kailh_socket_PG1350_optional,
KEYSW,K14,Kailh_socket_PG1350_optional,
KEYSW,K23,Kailh_socket_PG1350_optional,
KEYSW,K03,Kailh_socket_PG1350_optional,
KEYSW,K22,Kailh_socket_PG1350_optional,
KEYSW,K15,Kailh_socket_PG1350_optional,
KEYSW,K32,Kailh_socket_PG1350_optional,
KEYSW,K11,Kailh_socket_PG1350_optional,
KEYSW,K05,Kailh_socket_PG1350_optional,
KEYSW,K20,Kailh_socket_PG1350_optional,
KEYSW,K13,Kailh_socket_PG1350_optional,
KEYSW,K00,Kailh_socket_PG1350_optional,
KEYSW,K31,Kailh_socket_PG1350_optional,
10k,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
MountingHole,H4,MountingHole_2.2mm_M2-8mm,
MountingHole,H2,MountingHole_2.2mm_M2-8mm,
MountingHole,MB1,mousebites_2,
5k6,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
MountingHole,MB3,mousebites_3,
MountingHole,MB2,mousebites_2,
MountingHole,H1,MountingHole_2.2mm_M2-8mm,
MountingHole,H3,MountingHole_2.2mm_M2-8mm,
MountingHole,MB4,mousebites_3,
